X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8849702.54690921,5407425.17256509,79,GO-2005745939,2005/03/11 05:00:00+00,2005,March,11,Friday,70,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.4982305780472,43.6239133298212
-8836471.18058368,5413263.95409779,80,GO-2005758352,2005/03/25 05:00:00+00,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.3793711924586,43.6618695365329
-8825549.01954129,5416871.08739269,81,GO-2005884190,2005/04/13 04:00:00+00,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.2812557499106,43.6853064693633
-8842778.83013632,5409464.04809791,82,GO-20051052948,2005/04/18 04:00:00+00,2005,April,18,Monday,108,D11,Shooting,85,South Parkdale,85,South Parkdale (85),-79.4360337719145,43.6371701873696
-8836987.00482512,5410266.14402455,83,GO-20051006774,2005/04/19 04:00:00+00,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.3840049198687,43.6423846483867
-8855797.19362934,5427056.14353538,84,GO-2005739652,2005/04/24 04:00:00+00,2005,April,24,Sunday,114,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.5529797210048,43.7514332838009
-8825481.28029531,5435537.72054882,85,GO-2005736140,2005/05/04 04:00:00+00,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North,129,Agincourt North (129),-79.2806472375102,43.8064445114602
-8842704.06785498,5412957.4424434,86,GO-2005739574,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4353621706088,43.6598775908556
-8851608.68056882,5427637.77765568,87,GO-2005737037,2005/05/05 04:00:00+00,2005,May,5,Thursday,125,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5153536683103,43.7552073599877
-8832286.00220983,5415986.71800783,88,GO-2005756176,2005/05/08 04:00:00+00,2005,May,8,Sunday,128,D54,Shooting,66,Danforth,66,Danforth (66),-79.3417750946689,43.6795612284842
-8836723.14757568,5414109.90240448,89,GO-20051001532,2005/05/14 04:00:00+00,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.381634650275,43.6673668096231
-8821586.8290243,5431865.47697364,90,GO-2005863844,2005/05/15 04:00:00+00,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.2456627871286,43.7826326735776
-8815463.07682143,5428176.49243654,91,GO-2005988453,2005/05/18 04:00:00+00,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill,136,West Hill (136),-79.1906521847163,43.758702730516
-8850976.7907301,5425242.96765257,92,GO-2005781084,2005/05/27 04:00:00+00,2005,May,27,Friday,147,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773046176,43.7396665192647
-8827069.78727635,5417549.39609187,93,GO-2005760646,2005/06/12 04:00:00+00,2005,June,12,Sunday,163,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.2949170392782,43.6897126786835
-8852333.76419092,5429418.9442608,94,GO-20051000509,2005/06/24 04:00:00+00,2005,June,24,Friday,175,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5218672052404,43.7667634174734
-8843277.21283994,5422432.08889983,95,GO-2005834756,2005/06/25 04:00:00+00,2005,June,25,Saturday,176,D32,Stabbing,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.4405108195345,43.7214205005863
-8843017.89987475,5413964.51950041,96,GO-20051086009,2005/06/29 04:00:00+00,2005,June,29,Wednesday,180,D14,Shooting,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.4381813722676,43.6664220961411
-8857513.38651534,5426584.7246468,97,GO-2005884293,2005/07/06 04:00:00+00,2005,July,6,Wednesday,187,D23,Shooting,22,Humbermede,22,Humbermede (22),-79.5683965435645,43.7483741918923
-8815577.23885543,5429889.83886989,98,GO-20051150352,2005/07/15 04:00:00+00,2005,July,15,Friday,196,D42,Other,136,West Hill,136,West Hill (136),-79.1916777204643,43.7698181676696
